date,timestamp,timestamp_ms,body_battery_level
2026-03-01,2026-03-01 06:24:00,1772346240000,43
2026-03-01,2026-03-01 06:27:00,1772346420000,44
2026-03-01,2026-03-01 06:30:00,1772346600000,44
2026-03-01,2026-03-01 06:33:00,1772346780000,45
2026-03-01,2026-03-01 06:36:00,1772346960000,45
2026-03-01,2026-03-01 06:39:00,1772347140000,45
2026-03-01,2026-03-01 06:42:00,1772347320000,46
2026-03-01,2026-03-01 06:45:00,1772347500000,46
2026-03-01,2026-03-01 06:48:00,1772347680000,47
2026-03-01,2026-03-01 06:51:00,1772347860000,47
2026-03-01,2026-03-01 06:54:00,1772348040000,48
2026-03-01,2026-03-01 06:57:00,1772348220000,48
2026-03-01,2026-03-01 07:00:00,1772348400000,49
2026-03-01,2026-03-01 07:03:00,1772348580000,49
2026-03-01,2026-03-01 07:06:00,1772348760000,49
2026-03-01,2026-03-01 07:09:00,1772348940000,49
2026-03-01,2026-03-01 07:12:00,1772349120000,49
2026-03-01,2026-03-01 07:15:00,1772349300000,50
2026-03-01,2026-03-01 07:18:00,1772349480000,50
2026-03-01,2026-03-01 07:21:00,1772349660000,51
2026-03-01,2026-03-01 07:24:00,1772349840000,51
2026-03-01,2026-03-01 07:27:00,1772350020000,51
2026-03-01,2026-03-01 07:30:00,1772350200000,52
2026-03-01,2026-03-01 07:33:00,1772350380000,52
2026-03-01,2026-03-01 07:36:00,1772350560000,52
2026-03-01,2026-03-01 07:39:00,1772350740000,52
2026-03-01,2026-03-01 07:42:00,1772350920000,53
2026-03-01,2026-03-01 07:45:00,1772351100000,53
2026-03-01,2026-03-01 07:48:00,1772351280000,53
2026-03-01,2026-03-01 07:51:00,1772351460000,54
2026-03-01,2026-03-01 07:54:00,1772351640000,54
2026-03-01,2026-03-01 07:57:00,1772351820000,55
2026-03-01,2026-03-01 08:00:00,1772352000000,55
2026-03-01,2026-03-01 08:03:00,1772352180000,56
2026-03-01,2026-03-01 08:06:00,1772352360000,57
2026-03-01,2026-03-01 08:09:00,1772352540000,57
2026-03-01,2026-03-01 08:12:00,1772352720000,58
2026-03-01,2026-03-01 08:15:00,1772352900000,59
2026-03-01,2026-03-01 08:18:00,1772353080000,59
2026-03-01,2026-03-01 08:21:00,1772353260000,60
2026-03-01,2026-03-01 08:24:00,1772353440000,60
2026-03-01,2026-03-01 08:27:00,1772353620000,61
2026-03-01,2026-03-01 08:30:00,1772353800000,61
2026-03-01,2026-03-01 08:33:00,1772353980000,62
2026-03-01,2026-03-01 08:36:00,1772354160000,63
2026-03-01,2026-03-01 08:39:00,1772354340000,63
2026-03-01,2026-03-01 08:42:00,1772354520000,64
2026-03-01,2026-03-01 08:45:00,1772354700000,64
2026-03-01,2026-03-01 08:48:00,1772354880000,64
2026-03-02,2026-03-02 00:36:00,1772411760000,20
2026-03-02,2026-03-02 00:39:00,1772411940000,20
2026-03-02,2026-03-02 00:42:00,1772412120000,21
2026-03-02,2026-03-02 00:45:00,1772412300000,21
2026-03-02,2026-03-02 00:48:00,1772412480000,22
2026-03-02,2026-03-02 00:51:00,1772412660000,22
2026-03-02,2026-03-02 00:54:00,1772412840000,23
2026-03-02,2026-03-02 00:57:00,1772413020000,24
2026-03-02,2026-03-02 01:00:00,1772413200000,24
2026-03-02,2026-03-02 01:03:00,1772413380000,25
2026-03-02,2026-03-02 01:06:00,1772413560000,26
2026-03-02,2026-03-02 01:09:00,1772413740000,27
2026-03-02,2026-03-02 01:12:00,1772413920000,27
2026-03-02,2026-03-02 01:15:00,1772414100000,28
2026-03-02,2026-03-02 01:18:00,1772414280000,29
2026-03-02,2026-03-02 01:21:00,1772414460000,29
2026-03-02,2026-03-02 01:24:00,1772414640000,30
2026-03-02,2026-03-02 01:27:00,1772414820000,30
2026-03-02,2026-03-02 01:30:00,1772415000000,31
2026-03-02,2026-03-02 01:33:00,1772415180000,32
2026-03-02,2026-03-02 01:36:00,1772415360000,33
2026-03-02,2026-03-02 01:39:00,1772415540000,34
2026-03-02,2026-03-02 01:42:00,1772415720000,34
2026-03-02,2026-03-02 01:45:00,1772415900000,35
2026-03-02,2026-03-02 01:48:00,1772416080000,36
2026-03-02,2026-03-02 01:51:00,1772416260000,37
2026-03-02,2026-03-02 01:54:00,1772416440000,37
2026-03-02,2026-03-02 01:57:00,1772416620000,38
2026-03-02,2026-03-02 02:00:00,1772416800000,39
2026-03-02,2026-03-02 02:03:00,1772416980000,39
2026-03-02,2026-03-02 02:06:00,1772417160000,39
2026-03-02,2026-03-02 02:09:00,1772417340000,40
2026-03-02,2026-03-02 02:12:00,1772417520000,40
2026-03-02,2026-03-02 02:15:00,1772417700000,41
2026-03-02,2026-03-02 02:18:00,1772417880000,42
2026-03-02,2026-03-02 02:21:00,1772418060000,43
2026-03-02,2026-03-02 02:24:00,1772418240000,43
2026-03-02,2026-03-02 02:27:00,1772418420000,43
2026-03-02,2026-03-02 02:30:00,1772418600000,44
2026-03-02,2026-03-02 02:33:00,1772418780000,46
2026-03-02,2026-03-02 02:36:00,1772418960000,46
2026-03-02,2026-03-02 02:39:00,1772419140000,47
2026-03-02,2026-03-02 02:42:00,1772419320000,48
2026-03-02,2026-03-02 02:45:00,1772419500000,49
2026-03-02,2026-03-02 02:48:00,1772419680000,49
2026-03-02,2026-03-02 02:51:00,1772419860000,50
2026-03-02,2026-03-02 02:54:00,1772420040000,50
2026-03-02,2026-03-02 02:57:00,1772420220000,51
2026-03-02,2026-03-02 03:00:00,1772420400000,52
2026-03-02,2026-03-02 03:03:00,1772420580000,53
2026-03-02,2026-03-02 03:06:00,1772420760000,53
2026-03-02,2026-03-02 03:09:00,1772420940000,55
2026-03-02,2026-03-02 03:12:00,1772421120000,56
2026-03-02,2026-03-02 03:15:00,1772421300000,56
2026-03-02,2026-03-02 03:18:00,1772421480000,57
2026-03-02,2026-03-02 03:21:00,1772421660000,58
2026-03-02,2026-03-02 03:24:00,1772421840000,58
2026-03-02,2026-03-02 03:27:00,1772422020000,59
2026-03-02,2026-03-02 03:30:00,1772422200000,60
2026-03-02,2026-03-02 03:33:00,1772422380000,61
2026-03-02,2026-03-02 03:36:00,1772422560000,62
2026-03-02,2026-03-02 03:39:00,1772422740000,62
2026-03-02,2026-03-02 03:42:00,1772422920000,62
2026-03-02,2026-03-02 03:45:00,1772423100000,63
2026-03-02,2026-03-02 03:48:00,1772423280000,63
2026-03-02,2026-03-02 03:51:00,1772423460000,65
2026-03-02,2026-03-02 03:54:00,1772423640000,65
2026-03-02,2026-03-02 03:57:00,1772423820000,65
2026-03-02,2026-03-02 04:00:00,1772424000000,66
2026-03-02,2026-03-02 04:03:00,1772424180000,66
2026-03-02,2026-03-02 04:06:00,1772424360000,67
2026-03-02,2026-03-02 04:09:00,1772424540000,68
2026-03-02,2026-03-02 04:12:00,1772424720000,68
2026-03-02,2026-03-02 04:15:00,1772424900000,69
2026-03-02,2026-03-02 04:18:00,1772425080000,69
2026-03-02,2026-03-02 04:21:00,1772425260000,70
2026-03-02,2026-03-02 04:24:00,1772425440000,71
2026-03-02,2026-03-02 04:27:00,1772425620000,71
2026-03-02,2026-03-02 04:30:00,1772425800000,71
2026-03-02,2026-03-02 04:33:00,1772425980000,71
2026-03-02,2026-03-02 04:36:00,1772426160000,71
2026-03-02,2026-03-02 04:39:00,1772426340000,71
2026-03-02,2026-03-02 04:42:00,1772426520000,71
2026-03-02,2026-03-02 04:45:00,1772426700000,72
2026-03-02,2026-03-02 04:48:00,1772426880000,73
2026-03-02,2026-03-02 04:51:00,1772427060000,73
2026-03-02,2026-03-02 04:54:00,1772427240000,74
2026-03-02,2026-03-02 04:57:00,1772427420000,74
2026-03-02,2026-03-02 05:00:00,1772427600000,74
2026-03-02,2026-03-02 05:03:00,1772427780000,76
2026-03-02,2026-03-02 05:06:00,1772427960000,76
2026-03-02,2026-03-02 05:09:00,1772428140000,76
