date,start_time,end_time,movement_intensity
2026-03-01,2026-03-01T00:28:00.0,2026-03-01T00:29:00.0,5.514702939727712
2026-03-01,2026-03-01T00:29:00.0,2026-03-01T00:30:00.0,5.02919417748493
2026-03-01,2026-03-01T00:30:00.0,2026-03-01T00:31:00.0,4.519620685170564
2026-03-01,2026-03-01T00:31:00.0,2026-03-01T00:32:00.0,3.995051065124361
2026-03-01,2026-03-01T00:32:00.0,2026-03-01T00:33:00.0,3.465180340015096
2026-03-01,2026-03-01T00:33:00.0,2026-03-01T00:34:00.0,2.9399273479656194
2026-03-01,2026-03-01T00:34:00.0,2026-03-01T00:35:00.0,2.4290101949365566
2026-03-01,2026-03-01T00:35:00.0,2026-03-01T00:36:00.0,1.9414987547701925
2026-03-01,2026-03-01T00:36:00.0,2026-03-01T00:37:00.0,1.4853090390988024
2026-03-01,2026-03-01T00:37:00.0,2026-03-01T00:38:00.0,1.0664805206487964
2026-03-01,2026-03-01T00:38:00.0,2026-03-01T00:39:00.0,0.6874709393196369
2026-03-01,2026-03-01T00:39:00.0,2026-03-01T00:40:00.0,0.3383767745114431
2026-03-01,2026-03-01T00:40:00.0,2026-03-01T00:41:00.0,0.1765143758772299
2026-03-01,2026-03-01T00:41:00.0,2026-03-01T00:42:00.0,0.21740788677182804
2026-03-01,2026-03-01T00:42:00.0,2026-03-01T00:43:00.0,0.07686529550989835
2026-03-01,2026-03-01T00:43:00.0,2026-03-01T00:44:00.0,0.21272654086451928
2026-03-01,2026-03-01T00:44:00.0,2026-03-01T00:45:00.0,0.11379940284911867
2026-03-01,2026-03-01T00:45:00.0,2026-03-01T00:46:00.0,0.3990783417936884
2026-03-01,2026-03-01T00:46:00.0,2026-03-01T00:47:00.0,0.7454608262499861
2026-03-01,2026-03-01T00:47:00.0,2026-03-01T00:48:00.0,1.1429897737663413
2026-03-01,2026-03-01T00:48:00.0,2026-03-01T00:49:00.0,1.5572155420622749
2026-03-01,2026-03-01T00:49:00.0,2026-03-01T00:50:00.0,1.9874298535216461
2026-03-01,2026-03-01T00:50:00.0,2026-03-01T00:51:00.0,2.426625968979411
2026-03-01,2026-03-01T00:51:00.0,2026-03-01T00:52:00.0,2.86542754799568
2026-03-01,2026-03-01T00:52:00.0,2026-03-01T00:53:00.0,3.29347648551211
2026-03-01,2026-03-01T00:53:00.0,2026-03-01T00:54:00.0,3.700227995337508
2026-03-01,2026-03-01T00:54:00.0,2026-03-01T00:55:00.0,4.0755528593824755
2026-03-01,2026-03-01T00:55:00.0,2026-03-01T00:56:00.0,4.4102504204620105
2026-03-01,2026-03-01T00:56:00.0,2026-03-01T00:57:00.0,4.696497533320476
2026-03-01,2026-03-01T00:57:00.0,2026-03-01T00:58:00.0,4.928234098322205
2026-03-01,2026-03-01T00:58:00.0,2026-03-01T00:59:00.0,5.1014777991392135
