date,timestamp,timestamp_ms,respiration_rate
2026-03-01,2026-03-01 01:28:08,1772328488000,12.0
2026-03-01,2026-03-01 01:30:00,1772328600000,12.0
2026-03-01,2026-03-01 01:32:00,1772328720000,12.0
2026-03-01,2026-03-01 01:34:00,1772328840000,12.0
2026-03-01,2026-03-01 01:36:00,1772328960000,11.0
2026-03-01,2026-03-01 01:38:00,1772329080000,11.0
2026-03-01,2026-03-01 01:40:00,1772329200000,12.0
2026-03-01,2026-03-01 01:42:00,1772329320000,12.0
2026-03-01,2026-03-01 01:44:00,1772329440000,12.0
2026-03-01,2026-03-01 01:46:00,1772329560000,12.0
2026-03-01,2026-03-01 01:48:00,1772329680000,12.0
2026-03-01,2026-03-01 01:50:00,1772329800000,13.0
2026-03-01,2026-03-01 01:52:00,1772329920000,13.0
2026-03-01,2026-03-01 01:54:00,1772330040000,13.0
2026-03-01,2026-03-01 01:56:00,1772330160000,13.0
2026-03-01,2026-03-01 01:58:00,1772330280000,13.0
2026-03-01,2026-03-01 02:00:00,1772330400000,12.0
2026-03-01,2026-03-01 02:02:00,1772330520000,13.0
2026-03-01,2026-03-01 02:04:00,1772330640000,13.0
2026-03-01,2026-03-01 02:06:00,1772330760000,13.0
2026-03-01,2026-03-01 02:08:00,1772330880000,12.0
2026-03-01,2026-03-01 02:10:00,1772331000000,12.0
2026-03-01,2026-03-01 02:12:00,1772331120000,13.0
2026-03-01,2026-03-01 02:14:00,1772331240000,12.0
2026-03-01,2026-03-01 02:16:00,1772331360000,13.0
2026-03-01,2026-03-01 02:18:00,1772331480000,12.0
2026-03-01,2026-03-01 02:20:00,1772331600000,13.0
2026-03-01,2026-03-01 02:22:00,1772331720000,16.0
2026-03-01,2026-03-01 02:24:00,1772331840000,16.0
2026-03-01,2026-03-01 02:26:00,1772331960000,16.0
2026-03-01,2026-03-01 02:28:00,1772332080000,18.0
2026-03-01,2026-03-01 02:30:00,1772332200000,14.0
2026-03-01,2026-03-01 02:32:00,1772332320000,19.0
2026-03-01,2026-03-01 02:34:00,1772332440000,18.0
2026-03-01,2026-03-01 02:36:00,1772332560000,18.0
2026-03-01,2026-03-01 02:38:00,1772332680000,16.0
2026-03-01,2026-03-01 02:40:00,1772332800000,18.0
2026-03-01,2026-03-01 02:42:00,1772332920000,13.0
