date,timestamp,timestamp_ms,status,body_battery_level
2026-03-01,2026-03-01 04:03:00,1772337780000,MEASURED,27
2026-03-01,2026-03-01 04:06:00,1772337960000,MEASURED,27
2026-03-01,2026-03-01 04:09:00,1772338140000,MEASURED,28
2026-03-01,2026-03-01 04:12:00,1772338320000,MEASURED,28
2026-03-01,2026-03-01 04:15:00,1772338500000,MEASURED,28
2026-03-01,2026-03-01 04:18:00,1772338680000,MEASURED,29
2026-03-01,2026-03-01 04:21:00,1772338860000,MEASURED,29
2026-03-01,2026-03-01 04:24:00,1772339040000,MEASURED,29
2026-03-01,2026-03-01 04:27:00,1772339220000,MEASURED,29
2026-03-01,2026-03-01 04:30:00,1772339400000,MEASURED,30
2026-03-01,2026-03-01 04:33:00,1772339580000,MEASURED,30
2026-03-01,2026-03-01 04:36:00,1772339760000,MEASURED,30
2026-03-01,2026-03-01 04:39:00,1772339940000,MEASURED,31
2026-03-01,2026-03-01 04:42:00,1772340120000,MEASURED,31
2026-03-01,2026-03-01 04:45:00,1772340300000,MEASURED,32
2026-03-01,2026-03-01 04:48:00,1772340480000,MEASURED,32
2026-03-01,2026-03-01 04:51:00,1772340660000,MEASURED,32
2026-03-01,2026-03-01 04:54:00,1772340840000,MEASURED,33
2026-03-01,2026-03-01 04:57:00,1772341020000,MEASURED,33
2026-03-01,2026-03-01 05:00:00,1772341200000,MEASURED,34
2026-03-01,2026-03-01 05:03:00,1772341380000,MEASURED,34
2026-03-01,2026-03-01 05:06:00,1772341560000,MEASURED,35
2026-03-01,2026-03-01 05:09:00,1772341740000,MEASURED,35
2026-03-01,2026-03-01 05:12:00,1772341920000,MEASURED,35
2026-03-01,2026-03-01 05:15:00,1772342100000,MEASURED,36
2026-03-01,2026-03-01 05:18:00,1772342280000,MEASURED,36
2026-03-01,2026-03-01 05:21:00,1772342460000,MEASURED,37
2026-03-01,2026-03-01 05:24:00,1772342640000,MEASURED,37
2026-03-01,2026-03-01 05:27:00,1772342820000,MEASURED,37
2026-03-01,2026-03-01 05:30:00,1772343000000,MEASURED,38
2026-03-01,2026-03-01 05:33:00,1772343180000,MEASURED,38
2026-03-01,2026-03-01 05:36:00,1772343360000,MEASURED,39
2026-03-01,2026-03-01 05:39:00,1772343540000,MEASURED,39
2026-03-01,2026-03-01 05:42:00,1772343720000,MEASURED,39
2026-03-01,2026-03-01 05:45:00,1772343900000,MEASURED,40
2026-03-01,2026-03-01 05:48:00,1772344080000,MEASURED,40
2026-03-01,2026-03-01 05:51:00,1772344260000,MEASURED,40
2026-03-01,2026-03-01 05:54:00,1772344440000,MEASURED,40
2026-03-01,2026-03-01 05:57:00,1772344620000,MEASURED,41
2026-03-01,2026-03-01 06:00:00,1772344800000,MEASURED,41
2026-03-01,2026-03-01 06:03:00,1772344980000,MEASURED,41
2026-03-01,2026-03-01 06:06:00,1772345160000,MEASURED,42
2026-03-01,2026-03-01 06:09:00,1772345340000,MEASURED,42
2026-03-01,2026-03-01 06:12:00,1772345520000,MEASURED,42
2026-03-01,2026-03-01 06:15:00,1772345700000,MEASURED,43
2026-03-01,2026-03-01 06:18:00,1772345880000,MEASURED,43
2026-03-01,2026-03-01 06:21:00,1772346060000,MEASURED,43
2026-03-01,2026-03-01 06:24:00,1772346240000,MEASURED,43
2026-03-01,2026-03-01 06:27:00,1772346420000,MEASURED,44
2026-03-01,2026-03-01 06:30:00,1772346600000,MEASURED,44
2026-03-01,2026-03-01 06:33:00,1772346780000,MEASURED,45
2026-03-01,2026-03-01 06:36:00,1772346960000,MEASURED,45
2026-03-01,2026-03-01 06:39:00,1772347140000,MEASURED,45
2026-03-01,2026-03-01 06:42:00,1772347320000,MEASURED,46
2026-03-01,2026-03-01 06:45:00,1772347500000,MEASURED,46
2026-03-01,2026-03-01 06:48:00,1772347680000,MEASURED,47
2026-03-01,2026-03-01 06:51:00,1772347860000,MEASURED,47
2026-03-01,2026-03-01 06:54:00,1772348040000,MEASURED,48
2026-03-01,2026-03-01 06:57:00,1772348220000,MEASURED,48
2026-03-01,2026-03-01 07:00:00,1772348400000,MEASURED,49
2026-03-01,2026-03-01 07:03:00,1772348580000,MEASURED,49
2026-03-01,2026-03-01 07:06:00,1772348760000,MEASURED,49
2026-03-01,2026-03-01 07:09:00,1772348940000,MEASURED,49
2026-03-01,2026-03-01 07:12:00,1772349120000,MEASURED,49
2026-03-01,2026-03-01 07:15:00,1772349300000,MEASURED,50
2026-03-01,2026-03-01 07:18:00,1772349480000,MEASURED,50
2026-03-01,2026-03-01 07:21:00,1772349660000,MEASURED,51
2026-03-01,2026-03-01 07:24:00,1772349840000,MEASURED,51
2026-03-01,2026-03-01 07:27:00,1772350020000,MEASURED,51
2026-03-01,2026-03-01 07:30:00,1772350200000,MEASURED,52
2026-03-01,2026-03-01 07:33:00,1772350380000,MEASURED,52
2026-03-01,2026-03-01 07:36:00,1772350560000,MEASURED,52
2026-03-01,2026-03-01 07:39:00,1772350740000,MEASURED,52
2026-03-01,2026-03-01 07:42:00,1772350920000,MEASURED,53
2026-03-01,2026-03-01 07:45:00,1772351100000,MEASURED,53
2026-03-01,2026-03-01 07:48:00,1772351280000,MEASURED,53
2026-03-01,2026-03-01 07:51:00,1772351460000,MEASURED,54
2026-03-01,2026-03-01 07:54:00,1772351640000,MEASURED,54
2026-03-01,2026-03-01 07:57:00,1772351820000,MEASURED,55
2026-03-01,2026-03-01 08:00:00,1772352000000,MEASURED,55
2026-03-01,2026-03-01 08:03:00,1772352180000,MEASURED,56
2026-03-01,2026-03-01 08:06:00,1772352360000,MEASURED,57
2026-03-01,2026-03-01 08:09:00,1772352540000,MEASURED,57
2026-03-01,2026-03-01 08:12:00,1772352720000,MEASURED,58
2026-03-01,2026-03-01 08:15:00,1772352900000,MEASURED,59
2026-03-01,2026-03-01 08:18:00,1772353080000,MEASURED,59
2026-03-01,2026-03-01 08:21:00,1772353260000,MEASURED,60
2026-03-01,2026-03-01 08:24:00,1772353440000,MEASURED,60
2026-03-01,2026-03-01 08:27:00,1772353620000,MEASURED,61
2026-03-01,2026-03-01 08:30:00,1772353800000,MEASURED,61
2026-03-01,2026-03-01 08:33:00,1772353980000,MEASURED,62
2026-03-01,2026-03-01 08:36:00,1772354160000,MEASURED,63
2026-03-01,2026-03-01 08:39:00,1772354340000,MEASURED,63
2026-03-01,2026-03-01 08:42:00,1772354520000,MEASURED,64
2026-03-01,2026-03-01 08:45:00,1772354700000,MEASURED,64
2026-03-01,2026-03-01 08:48:00,1772354880000,MEASURED,64
2026-03-01,2026-03-01 08:51:00,1772355060000,MEASURED,65
2026-03-01,2026-03-01 08:54:00,1772355240000,MEASURED,65
2026-03-01,2026-03-01 08:57:00,1772355420000,MEASURED,64
2026-03-01,2026-03-01 09:00:00,1772355600000,MEASURED,64
2026-03-01,2026-03-01 09:03:00,1772355780000,MODELED,64
2026-03-01,2026-03-01 09:06:00,1772355960000,MODELED,64
2026-03-01,2026-03-01 09:09:00,1772356140000,MODELED,63
2026-03-01,2026-03-01 09:12:00,1772356320000,MEASURED,63
2026-03-01,2026-03-01 09:15:00,1772356500000,MEASURED,63
2026-03-01,2026-03-01 09:18:00,1772356680000,MEASURED,63
2026-03-01,2026-03-01 09:21:00,1772356860000,MEASURED,63
2026-03-01,2026-03-01 09:24:00,1772357040000,MEASURED,63
2026-03-01,2026-03-01 09:27:00,1772357220000,MEASURED,63
2026-03-01,2026-03-01 09:30:00,1772357400000,MEASURED,63
2026-03-01,2026-03-01 09:33:00,1772357580000,MEASURED,63
2026-03-01,2026-03-01 09:36:00,1772357760000,MEASURED,63
2026-03-01,2026-03-01 09:39:00,1772357940000,MEASURED,62
2026-03-01,2026-03-01 09:42:00,1772358120000,MEASURED,62
2026-03-01,2026-03-01 09:45:00,1772358300000,MEASURED,62
2026-03-01,2026-03-01 09:48:00,1772358480000,MEASURED,62
2026-03-01,2026-03-01 09:51:00,1772358660000,MEASURED,62
2026-03-01,2026-03-01 09:54:00,1772358840000,MEASURED,61
2026-03-01,2026-03-01 09:57:00,1772359020000,MEASURED,61
2026-03-01,2026-03-01 10:00:00,1772359200000,MEASURED,61
2026-03-01,2026-03-01 10:03:00,1772359380000,MEASURED,61
2026-03-01,2026-03-01 10:06:00,1772359560000,MEASURED,61
2026-03-01,2026-03-01 10:09:00,1772359740000,MEASURED,60
2026-03-01,2026-03-01 10:12:00,1772359920000,MEASURED,60
2026-03-01,2026-03-01 10:15:00,1772360100000,MEASURED,60
2026-03-01,2026-03-01 10:18:00,1772360280000,MEASURED,60
2026-03-01,2026-03-01 10:21:00,1772360460000,MEASURED,60
2026-03-01,2026-03-01 10:24:00,1772360640000,MEASURED,60
2026-03-01,2026-03-01 10:27:00,1772360820000,MEASURED,59
2026-03-01,2026-03-01 10:30:00,1772361000000,MEASURED,59
2026-03-01,2026-03-01 10:33:00,1772361180000,MEASURED,59
2026-03-01,2026-03-01 10:36:00,1772361360000,MEASURED,59
