date,timestamp,timestamp_ms,stress_level
2026-03-01,2026-03-01 00:00:00,1772323200000,-2
2026-03-01,2026-03-01 00:03:00,1772323380000,91
2026-03-01,2026-03-01 00:06:00,1772323560000,72
2026-03-01,2026-03-01 00:09:00,1772323740000,58
2026-03-01,2026-03-01 00:12:00,1772323920000,-2
2026-03-01,2026-03-01 00:15:00,1772324100000,-1
2026-03-01,2026-03-01 00:18:00,1772324280000,-1
2026-03-01,2026-03-01 00:21:00,1772324460000,-1
2026-03-01,2026-03-01 00:24:00,1772324640000,-1
2026-03-01,2026-03-01 00:27:00,1772324820000,-1
2026-03-01,2026-03-01 00:30:00,1772325000000,-1
2026-03-01,2026-03-01 00:33:00,1772325180000,-1
2026-03-01,2026-03-01 00:36:00,1772325360000,-1
2026-03-01,2026-03-01 00:39:00,1772325540000,-1
2026-03-01,2026-03-01 00:42:00,1772325720000,-1
2026-03-01,2026-03-01 00:45:00,1772325900000,-1
2026-03-01,2026-03-01 00:48:00,1772326080000,-1
2026-03-01,2026-03-01 00:51:00,1772326260000,-1
2026-03-01,2026-03-01 00:54:00,1772326440000,-1
2026-03-01,2026-03-01 00:57:00,1772326620000,-1
2026-03-01,2026-03-01 01:00:00,1772326800000,-1
2026-03-01,2026-03-01 01:03:00,1772326980000,-2
2026-03-01,2026-03-01 01:06:00,1772327160000,24
2026-03-01,2026-03-01 01:09:00,1772327340000,-1
2026-03-01,2026-03-01 01:12:00,1772327520000,-1
2026-03-01,2026-03-01 01:15:00,1772327700000,19
2026-03-01,2026-03-01 01:18:00,1772327880000,21
2026-03-01,2026-03-01 01:21:00,1772328060000,15
2026-03-01,2026-03-01 01:24:00,1772328240000,13
2026-03-01,2026-03-01 01:27:00,1772328420000,10
2026-03-01,2026-03-01 01:30:00,1772328600000,6
2026-03-01,2026-03-01 01:33:00,1772328780000,5
2026-03-01,2026-03-01 01:36:00,1772328960000,6
2026-03-01,2026-03-01 01:39:00,1772329140000,8
2026-03-01,2026-03-01 01:42:00,1772329320000,11
2026-03-01,2026-03-01 01:45:00,1772329500000,11
2026-03-01,2026-03-01 01:48:00,1772329680000,13
2026-03-01,2026-03-01 01:51:00,1772329860000,16
2026-03-01,2026-03-01 01:54:00,1772330040000,16
2026-03-01,2026-03-01 01:57:00,1772330220000,17
2026-03-01,2026-03-01 02:00:00,1772330400000,16
2026-03-01,2026-03-01 02:03:00,1772330580000,17
2026-03-01,2026-03-01 02:06:00,1772330760000,21
2026-03-01,2026-03-01 02:09:00,1772330940000,20
2026-03-01,2026-03-01 02:12:00,1772331120000,20
2026-03-01,2026-03-01 02:15:00,1772331300000,19
2026-03-01,2026-03-01 02:18:00,1772331480000,19
2026-03-01,2026-03-01 02:21:00,1772331660000,37
2026-03-01,2026-03-01 02:24:00,1772331840000,19
2026-03-01,2026-03-01 02:27:00,1772332020000,34
2026-03-01,2026-03-01 02:30:00,1772332200000,20
2026-03-01,2026-03-01 02:33:00,1772332380000,20
2026-03-01,2026-03-01 02:36:00,1772332560000,25
2026-03-01,2026-03-01 02:39:00,1772332740000,19
2026-03-01,2026-03-01 02:42:00,1772332920000,-1
2026-03-01,2026-03-01 02:45:00,1772333100000,21
2026-03-01,2026-03-01 02:48:00,1772333280000,24
2026-03-01,2026-03-01 02:51:00,1772333460000,25
2026-03-01,2026-03-01 02:54:00,1772333640000,-1
2026-03-01,2026-03-01 02:57:00,1772333820000,24
2026-03-01,2026-03-01 03:00:00,1772334000000,22
2026-03-01,2026-03-01 03:03:00,1772334180000,20
2026-03-01,2026-03-01 03:06:00,1772334360000,17
2026-03-01,2026-03-01 03:09:00,1772334540000,24
2026-03-01,2026-03-01 03:12:00,1772334720000,24
2026-03-01,2026-03-01 03:15:00,1772334900000,25
2026-03-01,2026-03-01 03:18:00,1772335080000,23
2026-03-01,2026-03-01 03:21:00,1772335260000,24
2026-03-01,2026-03-01 03:24:00,1772335440000,22
2026-03-01,2026-03-01 03:27:00,1772335620000,19
2026-03-01,2026-03-01 03:30:00,1772335800000,18
2026-03-01,2026-03-01 03:33:00,1772335980000,21
2026-03-01,2026-03-01 03:36:00,1772336160000,22
2026-03-01,2026-03-01 03:39:00,1772336340000,24
2026-03-01,2026-03-01 03:42:00,1772336520000,24
2026-03-01,2026-03-01 03:45:00,1772336700000,25
2026-03-01,2026-03-01 03:48:00,1772336880000,22
2026-03-01,2026-03-01 03:51:00,1772337060000,21
2026-03-01,2026-03-01 03:54:00,1772337240000,21
2026-03-01,2026-03-01 03:57:00,1772337420000,20
2026-03-01,2026-03-01 04:00:00,1772337600000,24
2026-03-01,2026-03-01 04:03:00,1772337780000,24
2026-03-01,2026-03-01 04:06:00,1772337960000,23
2026-03-01,2026-03-01 04:09:00,1772338140000,27
2026-03-01,2026-03-01 04:12:00,1772338320000,28
2026-03-01,2026-03-01 04:15:00,1772338500000,28
2026-03-01,2026-03-01 04:18:00,1772338680000,24
2026-03-01,2026-03-01 04:21:00,1772338860000,21
2026-03-01,2026-03-01 04:24:00,1772339040000,25
2026-03-01,2026-03-01 04:27:00,1772339220000,23
2026-03-01,2026-03-01 04:30:00,1772339400000,22
2026-03-01,2026-03-01 04:33:00,1772339580000,27
2026-03-01,2026-03-01 04:36:00,1772339760000,20
2026-03-01,2026-03-01 04:39:00,1772339940000,18
2026-03-01,2026-03-01 04:42:00,1772340120000,18
2026-03-01,2026-03-01 04:45:00,1772340300000,15
2026-03-01,2026-03-01 04:48:00,1772340480000,18
2026-03-01,2026-03-01 04:51:00,1772340660000,15
2026-03-01,2026-03-01 04:54:00,1772340840000,16
2026-03-01,2026-03-01 04:57:00,1772341020000,16
2026-03-01,2026-03-01 05:00:00,1772341200000,14
2026-03-01,2026-03-01 05:03:00,1772341380000,15
2026-03-01,2026-03-01 05:06:00,1772341560000,23
2026-03-01,2026-03-01 05:09:00,1772341740000,18
2026-03-01,2026-03-01 05:12:00,1772341920000,16
2026-03-01,2026-03-01 05:15:00,1772342100000,17
2026-03-01,2026-03-01 05:18:00,1772342280000,15
2026-03-01,2026-03-01 05:21:00,1772342460000,16
2026-03-01,2026-03-01 05:24:00,1772342640000,16
2026-03-01,2026-03-01 05:27:00,1772342820000,19
2026-03-01,2026-03-01 05:30:00,1772343000000,19
2026-03-01,2026-03-01 05:33:00,1772343180000,19
2026-03-01,2026-03-01 05:36:00,1772343360000,16
2026-03-01,2026-03-01 05:39:00,1772343540000,23
2026-03-01,2026-03-01 05:42:00,1772343720000,20
2026-03-01,2026-03-01 05:45:00,1772343900000,25
2026-03-01,2026-03-01 05:48:00,1772344080000,23
2026-03-01,2026-03-01 05:51:00,1772344260000,23
2026-03-01,2026-03-01 05:54:00,1772344440000,25
2026-03-01,2026-03-01 05:57:00,1772344620000,24
