date,timestamp,timestamp_ms,heart_rate
2026-03-01,2026-03-01 00:00:00,1772323200000,95
2026-03-01,2026-03-01 00:02:00,1772323320000,96
2026-03-01,2026-03-01 00:04:00,1772323440000,102
2026-03-01,2026-03-01 00:06:00,1772323560000,89
2026-03-01,2026-03-01 00:08:00,1772323680000,81
2026-03-01,2026-03-01 00:10:00,1772323800000,81
2026-03-01,2026-03-01 00:12:00,1772323920000,72
2026-03-01,2026-03-01 00:14:00,1772324040000,83
2026-03-01,2026-03-01 00:16:00,1772324160000,84
2026-03-01,2026-03-01 00:58:00,1772326680000,81
2026-03-01,2026-03-01 01:00:00,1772326800000,90
2026-03-01,2026-03-01 01:02:00,1772326920000,78
2026-03-01,2026-03-01 01:04:00,1772327040000,72
2026-03-01,2026-03-01 01:06:00,1772327160000,60
2026-03-01,2026-03-01 01:08:00,1772327280000,59
2026-03-01,2026-03-01 01:10:00,1772327400000,62
2026-03-01,2026-03-01 01:12:00,1772327520000,68
2026-03-01,2026-03-01 01:14:00,1772327640000,58
2026-03-01,2026-03-01 01:16:00,1772327760000,56
2026-03-01,2026-03-01 01:18:00,1772327880000,52
2026-03-01,2026-03-01 01:20:00,1772328000000,55
2026-03-01,2026-03-01 01:22:00,1772328120000,51
2026-03-01,2026-03-01 01:24:00,1772328240000,51
2026-03-01,2026-03-01 01:26:00,1772328360000,49
2026-03-01,2026-03-01 01:28:00,1772328480000,48
2026-03-01,2026-03-01 01:30:00,1772328600000,48
2026-03-01,2026-03-01 01:32:00,1772328720000,46
2026-03-01,2026-03-01 01:34:00,1772328840000,46
2026-03-01,2026-03-01 01:36:00,1772328960000,47
2026-03-01,2026-03-01 01:38:00,1772329080000,47
2026-03-01,2026-03-01 01:40:00,1772329200000,47
2026-03-01,2026-03-01 01:42:00,1772329320000,47
2026-03-01,2026-03-01 01:44:00,1772329440000,47
2026-03-01,2026-03-01 01:46:00,1772329560000,47
2026-03-01,2026-03-01 01:48:00,1772329680000,48
2026-03-01,2026-03-01 01:50:00,1772329800000,49
2026-03-01,2026-03-01 01:52:00,1772329920000,49
2026-03-01,2026-03-01 01:54:00,1772330040000,50
2026-03-01,2026-03-01 01:56:00,1772330160000,49
2026-03-01,2026-03-01 01:58:00,1772330280000,49
2026-03-01,2026-03-01 02:00:00,1772330400000,49
2026-03-01,2026-03-01 02:02:00,1772330520000,50
2026-03-01,2026-03-01 02:04:00,1772330640000,49
2026-03-01,2026-03-01 02:06:00,1772330760000,50
2026-03-01,2026-03-01 02:08:00,1772330880000,51
2026-03-01,2026-03-01 02:10:00,1772331000000,51
2026-03-01,2026-03-01 02:12:00,1772331120000,51
2026-03-01,2026-03-01 02:14:00,1772331240000,51
2026-03-01,2026-03-01 02:16:00,1772331360000,51
2026-03-01,2026-03-01 02:18:00,1772331480000,51
